FID1	IID1	FID2	IID2	Z0	Z1	Z2	PI_HAT	RELATIONSHIP_CATEGORY
MG0035	MG0035	MG0036	MG0036	0.6907	0.2805	0.0287	0.1690	Third_degree
MG0035	MG0035	MG0043	MG0043	0.8025	0.1546	0.0429	0.1202	Third_degree
MG0036	MG0036	MG0041	MG0041	0.8517	0.1147	0.0336	0.0910	Third_degree
MG0042	MG0042	MG0043	MG0043	0.7656	0.1916	0.0427	0.1386	Third_degree
MG0163	MG0163	MG0174	MG0174	0.7590	0.2057	0.0353	0.1381	Third_degree
MG0167	MG0167	MG0171	MG0171	0.6275	0.3337	0.0388	0.2057	Second_degree
MG0226	MG0226	MG0228	MG0228	0.6644	0.2921	0.0435	0.1896	Second_degree
MG0331	MG0331	MG0333	MG0333	0.0005	0.9582	0.0413	0.5204	First_degree
MG0332	MG0332	MG0333	MG0333	0.0001	0.9608	0.0390	0.5195	First_degree
MG0334	MG0334	MG0336	MG0336	0.0005	0.9487	0.0508	0.5251	First_degree
MG0335	MG0335	MG0336	MG0336	0.0004	0.9612	0.0384	0.5190	First_degree
MG0337	MG0337	MG0339	MG0339	0.0009	0.9431	0.0560	0.5275	First_degree
MG0338	MG0338	MG0339	MG0339	0.0004	0.9583	0.0413	0.5205	First_degree
MG0340	MG0340	MG0342	MG0342	0.0001	0.9600	0.0398	0.5199	First_degree
MG0341	MG0341	MG0342	MG0342	0.0006	0.9599	0.0395	0.5194	First_degree
MG0343	MG0343	MG0345	MG0345	0.0001	0.9448	0.0551	0.5275	First_degree
MG0344	MG0344	MG0345	MG0345	0.0001	0.9492	0.0507	0.5253	First_degree
MG0346	MG0346	MG0348	MG0348	0.0005	0.9395	0.0600	0.5297	First_degree
MG0347	MG0347	MG0348	MG0348	0.0003	0.9455	0.0543	0.5270	First_degree
MG0349	MG0349	MG0351	MG0351	0.0001	0.9491	0.0508	0.5253	First_degree
MG0350	MG0350	MG0351	MG0351	0.0003	0.9528	0.0470	0.5234	First_degree
MG0352	MG0352	MG0354	MG0354	0.0001	0.9371	0.0628	0.5313	First_degree
MG0353	MG0353	MG0354	MG0354	0.0005	0.9379	0.0616	0.5305	First_degree
MG0355	MG0355	MG0357	MG0357	0.0005	0.9585	0.0410	0.5202	First_degree
MG0356	MG0356	MG0357	MG0357	0.0004	0.9593	0.0403	0.5200	First_degree
MG0358	MG0358	MG0360	MG0360	0.0003	0.9617	0.0380	0.5189	First_degree
MG0359	MG0359	MG0360	MG0360	0.0003	0.9631	0.0366	0.5182	First_degree
MG0363	MG0363	MG0365	MG0365	0.0000	0.9598	0.0402	0.5201	First_degree
MG0364	MG0364	MG0365	MG0365	0.0004	0.9554	0.0442	0.5219	First_degree
MG0366	MG0366	MG0367	MG0367	0.0005	0.9574	0.0421	0.5208	First_degree
MG0366	MG0366	MG0368	MG0368	0.0022	0.9504	0.0474	0.5226	First_degree
MG0369	MG0369	MG0370	MG0370	0.0005	0.9523	0.0472	0.5233	First_degree
MG0369	MG0369	MG0371	MG0371	0.0006	0.9524	0.0470	0.5232	First_degree
MG0372	MG0372	MG0374	MG0374	0.0005	0.9522	0.0473	0.5234	First_degree
MG0373	MG0373	MG0374	MG0374	0.0004	0.9539	0.0457	0.5227	First_degree
MG0375	MG0375	MG0376	MG0376	0.0008	0.9637	0.0355	0.5174	First_degree
MG0376	MG0376	MG0377	MG0377	0.0003	0.9596	0.0401	0.5199	First_degree
MG0378	MG0378	MG0379	MG0379	0.0001	0.9495	0.0503	0.5251	First_degree
MG0379	MG0379	MG0380	MG0380	0.0005	0.9487	0.0507	0.5251	First_degree
MG0381	MG0381	MG0382	MG0382	0.0003	0.9610	0.0387	0.5192	First_degree
MG0381	MG0381	MG0383	MG0383	0.0006	0.9630	0.0363	0.5178	First_degree
MG0384	MG0384	MG0386	MG0386	0.0004	0.9582	0.0414	0.5205	First_degree
MG0385	MG0385	MG0386	MG0386	0.0005	0.9606	0.0388	0.5192	First_degree
MG0387	MG0387	MG0389	MG0389	0.0000	0.9594	0.0406	0.5203	First_degree
MG0390	MG0390	MG0392	MG0392	0.0005	0.9551	0.0444	0.5219	First_degree
MG0391	MG0391	MG0392	MG0392	0.0004	0.9562	0.0434	0.5215	First_degree
MG0393	MG0393	MG0395	MG0395	0.0006	0.9504	0.0490	0.5242	First_degree
MG0394	MG0394	MG0395	MG0395	0.0001	0.9569	0.0429	0.5214	First_degree
MG0396	MG0396	MG0397	MG0397	0.0006	0.9661	0.0333	0.5163	First_degree
MG0396	MG0396	MG0398	MG0398	0.0004	0.9601	0.0395	0.5196	First_degree
MG0399	MG0399	MG0400	MG0400	0.0003	0.9488	0.0510	0.5254	First_degree
MG0400	MG0400	MG0401	MG0401	0.0005	0.9446	0.0549	0.5272	First_degree
MG0402	MG0402	MG0403	MG0403	0.0003	0.9534	0.0463	0.5230	First_degree
MG0403	MG0403	MG0404	MG0404	0.0006	0.9487	0.0506	0.5250	First_degree
MG0405	MG0405	MG0406	MG0406	0.0004	0.9471	0.0525	0.5261	First_degree
MG0406	MG0406	MG0407	MG0407	0.0001	0.9451	0.0548	0.5273	First_degree
MG0409	MG0409	MG0410	MG0410	0.0005	0.9475	0.0520	0.5257	First_degree
MG0414	MG0414	MG0415	MG0415	0.0005	0.9668	0.0327	0.5161	First_degree
MG0417	MG0417	MG0418	MG0418	0.0003	0.9597	0.0400	0.5199	First_degree
MG0418	MG0418	MG0419	MG0419	0.0004	0.9634	0.0362	0.5179	First_degree
MG0420	MG0420	MG0421	MG0421	0.0004	0.9431	0.0565	0.5281	First_degree
MG0421	MG0421	MG0422	MG0422	0.0005	0.9404	0.0591	0.5293	First_degree
MG0423	MG0423	MG0424	MG0424	0.0004	0.9619	0.0378	0.5187	First_degree
MG0423	MG0423	MG0425	MG0425	0.0004	0.9695	0.0301	0.5149	First_degree
MG0426	MG0426	MG0427	MG0427	0.0001	0.9635	0.0364	0.5181	First_degree
MG0426	MG0426	MG0428	MG0428	0.0003	0.9574	0.0423	0.5210	First_degree
MG0429	MG0429	MG0431	MG0431	0.0006	0.9618	0.0376	0.5185	First_degree
MG0430	MG0430	MG0431	MG0431	0.0004	0.9527	0.0469	0.5232	First_degree
MG0432	MG0432	MG0434	MG0434	0.0003	0.9487	0.0510	0.5254	First_degree
MG0433	MG0433	MG0434	MG0434	0.0003	0.9524	0.0473	0.5235	First_degree
MG0435	MG0435	MG0436	MG0436	0.0006	0.9435	0.0558	0.5276	First_degree
MG0435	MG0435	MG0437	MG0437	0.0004	0.9565	0.0431	0.5214	First_degree
MG0438	MG0438	MG0440	MG0440	0.0003	0.9491	0.0506	0.5252	First_degree
MG0439	MG0439	MG0440	MG0440	0.0009	0.9534	0.0457	0.5224	First_degree
MG0445	MG0445	MG0447	MG0447	0.0005	0.9536	0.0459	0.5227	First_degree
MG0448	MG0448	MG0449	MG0449	0.0010	0.9476	0.0514	0.5252	First_degree
MG0449	MG0449	MG0450	MG0450	0.0009	0.9533	0.0458	0.5225	First_degree
MG0451	MG0451	MG0452	MG0452	0.0001	0.9508	0.0491	0.5245	First_degree
MG0452	MG0452	MG0453	MG0453	0.0001	0.9490	0.0509	0.5254	First_degree
MG0454	MG0454	MG0455	MG0455	0.0004	0.9543	0.0453	0.5225	First_degree
MG0454	MG0454	MG0456	MG0456	0.0005	0.9543	0.0452	0.5223	First_degree
MG0464	MG0464	MG0466	MG0466	0.0119	0.9327	0.0555	0.5218	First_degree
MG0465	MG0465	MG0466	MG0466	0.0008	0.9477	0.0516	0.5254	First_degree
MG0467	MG0467	MG0469	MG0469	0.0008	0.9443	0.0549	0.5271	First_degree
MG0468	MG0468	MG0469	MG0469	0.0001	0.9494	0.0504	0.5252	First_degree
MG0470	MG0470	MG0471	MG0471	0.0003	0.9577	0.0420	0.5209	First_degree
MG0470	MG0470	MG0472	MG0472	0.0003	0.9586	0.0411	0.5204	First_degree
MG0476	MG0476	MG0478	MG0478	0.0000	0.9615	0.0385	0.5193	First_degree
MG0477	MG0477	MG0478	MG0478	0.0005	0.9635	0.0360	0.5177	First_degree
MG0479	MG0479	MG0586	MG0586	0.0164	0.9421	0.0415	0.5126	First_degree
MG0480	MG0480	MG0483	MG0483	0.0006	0.9619	0.0374	0.5184	First_degree
MG0481	MG0481	MG0487	MG0487	0.0004	0.9593	0.0403	0.5200	First_degree
MG0482	MG0482	MG0586	MG0586	0.0010	0.9465	0.0525	0.5257	First_degree
MG0483	MG0483	MG0484	MG0484	0.0003	0.9547	0.0451	0.5224	First_degree
MG0484	MG0484	MG0490	MG0490	0.8086	0.1738	0.0175	0.1044	Third_degree
MG0484	MG0484	MG0491	MG0491	0.8117	0.1731	0.0152	0.1018	Third_degree
MG0484	MG0484	MG0500	MG0500	0.8222	0.1491	0.0287	0.1033	Third_degree
MG0485	MG0485	MG0492	MG0492	0.0001	0.9651	0.0348	0.5173	First_degree
MG0486	MG0486	MG0495	MG0495	0.0003	0.9597	0.0401	0.5199	First_degree
MG0486	MG0486	MG0506	MG0506	0.0008	0.9624	0.0369	0.5180	First_degree
MG0487	MG0487	MG0496	MG0496	0.0010	0.9626	0.0364	0.5177	First_degree
MG0487	MG0487	MG0628	MG0628	0.6606	0.3394	0.0000	0.1697	Third_degree
MG0487	MG0487	MG0631	MG0631	0.4783	0.5035	0.0182	0.2700	Second_degree
MG0488	MG0488	MG0492	MG0492	0.0006	0.9610	0.0383	0.5188	First_degree
MG0489	MG0489	MG0493	MG0493	0.0003	0.9495	0.0502	0.5250	First_degree
MG0489	MG0489	MG0498	MG0498	0.0004	0.9528	0.0468	0.5232	First_degree
MG0490	MG0490	MG0491	MG0491	0.0005	0.9521	0.0474	0.5234	First_degree
MG0490	MG0490	MG0500	MG0500	0.0003	0.9492	0.0506	0.5252	First_degree
MG0493	MG0493	MG0560	MG0560	0.8050	0.1772	0.0178	0.1064	Third_degree
MG0494	MG0494	MG0497	MG0497	0.0005	0.9536	0.0459	0.5227	First_degree
MG0496	MG0496	MG0628	MG0628	0.4383	0.5460	0.0156	0.2887	Second_degree
MG0496	MG0496	MG0631	MG0631	0.2583	0.4758	0.2658	0.5038	First_degree
MG0497	MG0497	MG0499	MG0499	0.0014	0.9605	0.0381	0.5183	First_degree
MG0502	MG0502	MG0504	MG0504	0.0004	0.9592	0.0404	0.5200	First_degree
MG0503	MG0503	MG0504	MG0504	0.0006	0.9562	0.0432	0.5213	First_degree
MG0507	MG0507	MG0570	MG0570	0.0004	0.9617	0.0379	0.5188	First_degree
MG0507	MG0507	MG0574	MG0574	0.0004	0.9621	0.0376	0.5186	First_degree
MG0508	MG0508	MG0571	MG0571	0.0000	0.9644	0.0356	0.5178	First_degree
MG0508	MG0508	MG0572	MG0572	0.0000	0.9609	0.0391	0.5195	First_degree
MG0509	MG0509	MG0576	MG0576	0.0000	0.9625	0.0375	0.5188	First_degree
MG0509	MG0509	MG0577	MG0577	0.0001	0.9489	0.0510	0.5254	First_degree
MG0510	MG0510	MG0582	MG0582	0.0005	0.9600	0.0394	0.5195	First_degree
MG0511	MG0511	MG0579	MG0579	0.0006	0.9592	0.0402	0.5198	First_degree
MG0511	MG0511	MG0580	MG0580	0.0006	0.9588	0.0406	0.5200	First_degree
MG0512	MG0512	MG0556	MG0556	0.0003	0.9698	0.0300	0.5149	First_degree
MG0512	MG0512	MG0557	MG0557	0.0003	0.9695	0.0302	0.5150	First_degree
MG0513	MG0513	MG0559	MG0559	0.0004	0.9685	0.0311	0.5154	First_degree
MG0514	MG0514	MG0585	MG0585	0.0004	0.9549	0.0447	0.5222	First_degree
MG0515	MG0515	MG0544	MG0544	0.0000	0.9583	0.0417	0.5208	First_degree
MG0515	MG0515	MG0545	MG0545	0.0003	0.9533	0.0465	0.5231	First_degree
MG0516	MG0516	MG0546	MG0546	0.0001	0.9602	0.0397	0.5198	First_degree
MG0516	MG0516	MG0547	MG0547	0.0005	0.9616	0.0379	0.5187	First_degree
MG0517	MG0517	MG0548	MG0548	0.0010	0.9570	0.0420	0.5205	First_degree
MG0517	MG0517	MG0549	MG0549	0.0003	0.9564	0.0434	0.5216	First_degree
MG0518	MG0518	MG0567	MG0567	0.0003	0.9639	0.0358	0.5178	First_degree
MG0518	MG0518	MG0568	MG0568	0.0009	0.9637	0.0354	0.5173	First_degree
MG0519	MG0519	MG0569	MG0569	0.0006	0.9614	0.0380	0.5187	First_degree
MG0519	MG0519	MG0575	MG0575	0.0001	0.9671	0.0328	0.5163	First_degree
MG0520	MG0520	MG0564	MG0564	0.0006	0.9611	0.0382	0.5188	First_degree
MG0520	MG0520	MG0565	MG0565	0.0006	0.9615	0.0378	0.5186	First_degree
MG0521	MG0521	MG0562	MG0562	0.0006	0.9498	0.0496	0.5245	First_degree
MG0521	MG0521	MG0563	MG0563	0.0003	0.9494	0.0504	0.5251	First_degree
MG0522	MG0522	MG0533	MG0533	0.0003	0.9599	0.0398	0.5198	First_degree
MG0522	MG0522	MG0534	MG0534	0.0003	0.9610	0.0388	0.5193	First_degree
MG0523	MG0523	MG0531	MG0531	0.0003	0.9630	0.0368	0.5183	First_degree
MG0523	MG0523	MG0532	MG0532	0.0005	0.9610	0.0384	0.5190	First_degree
MG0524	MG0524	MG0560	MG0560	0.0004	0.9614	0.0382	0.5189	First_degree
MG0524	MG0524	MG0561	MG0561	0.0004	0.9589	0.0407	0.5201	First_degree
MG0525	MG0525	MG0538	MG0538	0.0000	0.9527	0.0473	0.5236	First_degree
MG0525	MG0525	MG0539	MG0539	0.0005	0.9690	0.0305	0.5150	First_degree
MG0526	MG0526	MG0552	MG0552	0.0004	0.9604	0.0392	0.5194	First_degree
MG0526	MG0526	MG0553	MG0553	0.0005	0.9729	0.0266	0.5130	First_degree
MG0527	MG0527	MG0554	MG0554	0.0003	0.9676	0.0322	0.5159	First_degree
MG0527	MG0527	MG0555	MG0555	0.0004	0.9683	0.0314	0.5155	First_degree
MG0528	MG0528	MG0573	MG0573	0.0039	0.9504	0.0457	0.5209	First_degree
MG0528	MG0528	MG0578	MG0578	0.0004	0.9575	0.0421	0.5209	First_degree
MG0529	MG0529	MG0542	MG0542	0.0001	0.9622	0.0377	0.5188	First_degree
MG0529	MG0529	MG0543	MG0543	0.0001	0.9511	0.0488	0.5243	First_degree
MG0530	MG0530	MG0540	MG0540	0.0001	0.9605	0.0394	0.5196	First_degree
MG0530	MG0530	MG0541	MG0541	0.0003	0.9575	0.0422	0.5210	First_degree
MG0549	MG0549	MG0551	MG0551	0.8046	0.1708	0.0246	0.1100	Third_degree
MG0550	MG0550	MG0597	MG0597	0.7415	0.2251	0.0334	0.1460	Third_degree
MG0571	MG0571	MG0578	MG0578	0.8275	0.1503	0.0222	0.0974	Third_degree
MG0587	MG0587	MG0589	MG0589	0.0005	0.9470	0.0525	0.5260	First_degree
MG0587	MG0587	MG0590	MG0590	0.0009	0.9588	0.0403	0.5197	First_degree
MG0588	MG0588	MG0592	MG0592	0.0015	0.9561	0.0423	0.5204	First_degree
MG0593	MG0593	MG0594	MG0594	0.0006	0.9545	0.0449	0.5221	First_degree
MG0593	MG0593	MG0595	MG0595	0.0006	0.9622	0.0372	0.5183	First_degree
MG0596	MG0596	MG0604	MG0604	0.0004	0.9595	0.0401	0.5198	First_degree
MG0596	MG0596	MG0605	MG0605	0.0004	0.9516	0.0480	0.5238	First_degree
MG0598	MG0598	MG0599	MG0599	0.0005	0.9486	0.0509	0.5252	First_degree
MG0598	MG0598	MG0600	MG0600	0.0006	0.9525	0.0469	0.5231	First_degree
MG0602	MG0602	MG0603	MG0603	0.0000	0.9595	0.0405	0.5203	First_degree
MG0606	MG0606	MG0607	MG0607	0.0014	0.9676	0.0309	0.5148	First_degree
MG0606	MG0606	MG0608	MG0608	0.0004	0.9637	0.0359	0.5178	First_degree
MG0610	MG0610	MG0612	MG0612	0.0001	0.9534	0.0465	0.5232	First_degree
MG0610	MG0610	MG0613	MG0613	0.0006	0.9520	0.0473	0.5233	First_degree
MG0611	MG0611	MG0614	MG0614	0.0005	0.9667	0.0328	0.5161	First_degree
MG0611	MG0611	MG0615	MG0615	0.0003	0.9631	0.0366	0.5182	First_degree
MG0616	MG0616	MG0619	MG0619	0.0000	0.9741	0.0259	0.5129	First_degree
MG0617	MG0617	MG0620	MG0620	0.0003	0.9543	0.0454	0.5226	First_degree
MG0617	MG0617	MG0621	MG0621	0.0006	0.9671	0.0322	0.5158	First_degree
MG0622	MG0622	MG0624	MG0624	0.0000	0.9641	0.0359	0.5180	First_degree
MG0622	MG0622	MG0625	MG0625	0.0001	0.9551	0.0448	0.5223	First_degree
MG0623	MG0623	MG0626	MG0626	0.0000	0.9492	0.0508	0.5254	First_degree
MG0623	MG0623	MG0627	MG0627	0.0006	0.9507	0.0486	0.5240	First_degree
MG0628	MG0628	MG0630	MG0630	0.0004	0.9593	0.0403	0.5200	First_degree
MG0628	MG0628	MG0631	MG0631	0.0004	0.9680	0.0316	0.5156	First_degree
MG0629	MG0629	MG0632	MG0632	0.0001	0.9716	0.0283	0.5141	First_degree
MG0629	MG0629	MG0633	MG0633	0.0001	0.9687	0.0312	0.5155	First_degree
MG0634	MG0634	MG0636	MG0636	0.0005	0.9511	0.0484	0.5239	First_degree
MG0634	MG0634	MG0637	MG0637	0.0000	0.9585	0.0415	0.5207	First_degree
MG0635	MG0635	MG0638	MG0638	0.0000	0.9563	0.0437	0.5218	First_degree
MG0635	MG0635	MG0639	MG0639	0.0010	0.9544	0.0445	0.5217	First_degree
MG0640	MG0640	MG0641	MG0641	0.0000	0.9565	0.0435	0.5217	First_degree
MG0640	MG0640	MG0642	MG0642	0.0003	0.9527	0.0471	0.5234	First_degree
MG0643	MG0643	MG0644	MG0644	0.0006	0.9716	0.0277	0.5136	First_degree
MG0643	MG0643	MG0645	MG0645	0.0006	0.9695	0.0298	0.5146	First_degree
MG0648	MG0648	MG0649	MG0649	0.0054	0.9430	0.0516	0.5231	First_degree
MG0648	MG0648	MG0650	MG0650	0.0004	0.9590	0.0406	0.5201	First_degree
MG0651	MG0651	MG0761	MG0761	0.0008	0.9708	0.0284	0.5138	First_degree
MG0677	MG0677	MG0714	MG0714	0.8263	0.1547	0.0190	0.0964	Third_degree
MG0723	MG0723	MG0743	MG0743	0.8298	0.1509	0.0193	0.0948	Third_degree
MG0755	MG0755	MG0757	MG0757	0.0012	0.9541	0.0448	0.5218	First_degree
MG0756	MG0756	MG0757	MG0757	0.0005	0.9551	0.0444	0.5220	First_degree
MG0758	MG0758	MG0760	MG0760	0.0001	0.9566	0.0433	0.5216	First_degree
MG0759	MG0759	MG0760	MG0760	0.0006	0.9600	0.0394	0.5194	First_degree
MG0761	MG0761	MG0762	MG0762	0.0003	0.9706	0.0291	0.5144	First_degree
MG0763	MG0763	MG0818	MG0818	0.9093	0.0000	0.0907	0.0907	Third_degree
MG0766	MG0766	MG1045	MG1045	0.9104	0.0000	0.0896	0.0896	Third_degree
MG0767	MG0767	MG0836	MG0836	0.9088	0.0000	0.0912	0.0912	Third_degree
MG0769	MG0769	MG0860	MG0860	0.0006	0.9882	0.0112	0.5053	First_degree
MG0770	MG0770	MG1013	MG1013	0.0004	0.9595	0.0401	0.5199	First_degree
MG0771	MG0771	MG0824	MG0824	0.0010	0.9594	0.0396	0.5193	First_degree
MG0775	MG0775	MG1070	MG1070	0.5563	0.3757	0.0679	0.2558	Second_degree
MG0776	MG0776	MG1110	MG1110	0.9093	0.0000	0.0907	0.0907	Third_degree
MG0777	MG0777	MG0788	MG0788	0.0017	0.9608	0.0376	0.5179	First_degree
MG0779	MG0779	MG0913	MG0913	0.0006	0.9617	0.0376	0.5185	First_degree
MG0781	MG0781	MG0905	MG0905	0.0004	0.9630	0.0366	0.5181	First_degree
MG0782	MG0782	MG0977	MG0977	0.0000	0.9754	0.0246	0.5123	First_degree
MG0784	MG0784	MG1017	MG1017	0.9081	0.0000	0.0919	0.0919	Third_degree
MG0787	MG0787	MG1053	MG1053	0.0001	0.9635	0.0364	0.5181	First_degree
MG0788	MG0788	MG0903	MG0903	0.9106	0.0000	0.0894	0.0894	Third_degree
MG0792	MG0792	MG0804	MG0804	0.9113	0.0000	0.0887	0.0887	Third_degree
MG0792	MG0792	MG1030	MG1030	0.7328	0.1894	0.0779	0.1726	Third_degree
MG0793	MG0793	MG1002	MG1002	0.0005	0.9644	0.0351	0.5173	First_degree
MG0797	MG0797	MG1073	MG1073	0.8876	0.0127	0.0997	0.1060	Third_degree
MG0798	MG0798	MG0856	MG0856	0.0009	0.9553	0.0438	0.5215	First_degree
MG0798	MG0798	MG0963	MG0963	0.9072	0.0000	0.0928	0.0928	Third_degree
MG0799	MG0799	MG0982	MG0982	0.0004	0.9612	0.0385	0.5190	First_degree
MG0803	MG0803	MG1033	MG1033	0.9036	0.0000	0.0964	0.0964	Third_degree
MG0814	MG0814	MG0830	MG0830	0.0005	0.9612	0.0383	0.5189	First_degree
MG0815	MG0815	MG1076	MG1076	0.0017	0.9610	0.0373	0.5178	First_degree
MG0820	MG0820	MG0932	MG0932	0.9111	0.0000	0.0889	0.0889	Third_degree
MG0827	MG0827	MG0902	MG0902	0.9102	0.0000	0.0898	0.0898	Third_degree
MG0827	MG0827	MG1085	MG1085	0.9052	0.0000	0.0948	0.0948	Third_degree
MG0828	MG0828	MG0993	MG0993	0.9050	0.0000	0.0950	0.0950	Third_degree
MG0830	MG0830	MG0994	MG0994	0.0004	0.9639	0.0357	0.5177	First_degree
MG0835	MG0835	MG1006	MG1006	0.9028	0.0000	0.0972	0.0972	Third_degree
MG0835	MG0835	MG1017	MG1017	0.8959	0.0000	0.1041	0.1041	Third_degree
MG0836	MG0836	MG1002	MG1002	0.0018	0.9536	0.0446	0.5214	First_degree
MG0837	MG0837	MG1068	MG1068	0.0009	0.9763	0.0228	0.5110	First_degree
MG0840	MG0840	MG1036	MG1036	0.0008	0.9682	0.0311	0.5151	First_degree
MG0844	MG0844	MG0943	MG0943	0.0001	0.9669	0.0330	0.5164	First_degree
MG0847	MG0847	MG1044	MG1044	0.0000	0.9634	0.0366	0.5183	First_degree
MG0847	MG0847	MG1092	MG1092	0.0004	0.9666	0.0330	0.5163	First_degree
MG0849	MG0849	MG1036	MG1036	0.0006	0.9609	0.0385	0.5189	First_degree
MG0851	MG0851	MG0989	MG0989	0.8768	0.0410	0.0821	0.1027	Third_degree
MG0856	MG0856	MG1093	MG1093	0.0009	0.9561	0.0430	0.5210	First_degree
MG0857	MG0857	MG0976	MG0976	0.8204	0.1020	0.0776	0.1286	Third_degree
MG0858	MG0858	MG1110	MG1110	0.0001	0.9631	0.0368	0.5183	First_degree
MG0859	MG0859	MG0884	MG0884	0.8847	0.0354	0.0798	0.0975	Third_degree
MG0864	MG0864	MG1082	MG1082	0.0003	0.9594	0.0403	0.5200	First_degree
MG0865	MG0865	MG0969	MG0969	0.0009	0.9656	0.0335	0.5163	First_degree
MG0869	MG0869	MG0938	MG0938	0.0000	0.9733	0.0267	0.5134	First_degree
MG0869	MG0869	MG0973	MG0973	0.0005	0.9578	0.0417	0.5206	First_degree
MG0872	MG0872	MG1083	MG1083	0.0006	0.9561	0.0433	0.5213	First_degree
MG0882	MG0882	MG0915	MG0915	0.9092	0.0000	0.0908	0.0908	Third_degree
MG0883	MG0883	MG1086	MG1086	0.0003	0.9679	0.0318	0.5158	First_degree
MG0885	MG0885	MG0983	MG0983	0.0006	0.9597	0.0396	0.5195	First_degree
